method,scene,target_workers,seed,calibration_tasks,threshold_policy,gate_threshold,clean_acceptance,clean_retained,clean_total
RPPS-TDC,Water,27,20260818,20,native-fixed,0.3,0.3298319327731092,157,476
RPPS-TDC,Water,27,20260824,20,native-fixed,0.3,0.4726890756302521,225,476
RPPS-TDC,Water,27,20260830,20,native-fixed,0.3,0.4201680672268907,200,476
RPPS-TDC,Water,27,20260836,20,native-fixed,0.3,0.3193277310924369,152,476
RPPS-TDC,Climate,27,20260813,20,native-fixed,0.3,0.6413043478260869,354,552
RPPS-TDC,Climate,27,20260819,20,native-fixed,0.3,0.5434782608695652,300,552
RPPS-TDC,Climate,27,20260825,20,native-fixed,0.3,0.5815217391304348,321,552
RPPS-TDC,Climate,27,20260831,20,native-fixed,0.3,0.6195652173913043,342,552
RPPS-TDC,Climate,27,20260837,20,native-fixed,0.3,0.5978260869565217,330,552
RPPS-TDC,Traffic,27,20260813,20,native-fixed,0.3,0.5804794520547946,339,584
RPPS-TDC,Traffic,27,20260819,20,native-fixed,0.3,0.5804794520547946,339,584
RPPS-TDC,Traffic,27,20260825,20,native-fixed,0.3,0.4897260273972603,286,584
RPPS-TDC,Traffic,27,20260831,20,native-fixed,0.3,0.648972602739726,379,584
RPPS-TDC,Traffic,27,20260837,20,native-fixed,0.3,0.636986301369863,372,584
RPPS-TDC,Water,27,20260813,20,native-fixed,0.3,0.4180672268907563,199,476
RPPS-TDC,Water,27,20260819,20,native-fixed,0.3,0.430672268907563,205,476
RPPS-TDC,Water,27,20260825,20,native-fixed,0.3,0.3886554621848739,185,476
RPPS-TDC,Water,27,20260831,20,native-fixed,0.3,0.4243697478991596,202,476
RPPS-TDC,Water,27,20260837,20,native-fixed,0.3,0.4327731092436975,206,476
